4	qid:1	1:11.657356	2:10.083485	# 7555	rambo
3	qid:1	1:9.45622	2:13.264926	# 1370	rambo
3	qid:1	1:6.036687	2:11.113846	# 1369	rambo
3	qid:1	1:0.0	2:11.113846	# 1368	rambo
0	qid:1	1:0.0	2:0.0	# 136278	rambo
0	qid:1	1:0.0	2:0.0	# 102947	rambo
0	qid:1	1:0.0	2:0.0	# 13969	rambo
0	qid:1	1:0.0	2:0.0	# 61645	rambo
0	qid:1	1:0.0	2:0.0	# 14423	rambo
0	qid:1	1:0.0	2:0.0	# 54156	rambo
4	qid:2	1:10.004553	2:8.694485	# 1366	rocky
3	qid:2	1:8.115499	2:9.540582	# 1246	rocky
3	qid:2	1:8.115499	2:7.8192534	# 60375	rocky
3	qid:2	1:8.115499	2:5.5572166	# 1371	rocky
3	qid:2	1:8.115499	2:9.471983	# 1375	rocky
3	qid:2	1:8.115499	2:9.808294	# 1374	rocky
0	qid:2	1:5.8908744	2:0.0	# 110123	rocky
0	qid:2	1:6.8265185	2:8.381753	# 17711	rocky
0	qid:2	1:5.8908744	2:5.7776732	# 36685	rocky
4	qid:3	1:8.704951	2:12.420634	# 17711	bullwinkle
0	qid:3	1:0.0	2:0.0	# 1246	bullwinkle
0	qid:3	1:0.0	2:0.0	# 60375	bullwinkle
0	qid:3	1:0.0	2:0.0	# 1371	bullwinkle
0	qid:3	1:0.0	2:0.0	# 1375	bullwinkle
0	qid:3	1:0.0	2:0.0	# 1374	bullwinkle
